query_id,query,expected_variable,expected_temporal_resolution,expected_start_year,expected_end_year,expected_mip,expected_experiment,predicted_variable,predicted_temporal_resolution,predicted_start_year,predicted_end_year,predicted_mip,predicted_experiment,variable_match,temporal_resolution_match,start_year_match,end_year_match,mip_match,experiment_match,success,error
0,What is a relevant variable for surface air temperature?,tas,,,,,,tas,,1960,1970,,,True,True,False,False,True,True,True,
1,Which variable is pertinent to surface air temperature?,tas,,,,,,tas,,1960,1970,,,True,True,False,False,True,True,True,
2,What variable is significant for surface air temperature?,tas,,,,,,tas,,1960,1970,,,True,True,False,False,True,True,True,
4,What is an important variable for surface air temperature?,tas,,,,,,tas,,1960,1970,,,True,True,False,False,True,True,True,
3,Which factor is relevant to surface air temperature?,tas,,,,,,tas,,1960,1970,,,True,True,False,False,True,True,True,
5,Which variable is relevant to the temperature of surface air?,tas,,,,,,tas,,1960,1970,,,True,True,False,False,True,True,True,
7,Which variable can assist me in comprehending summer Arctic sea ice concentration?,siconca,,,,,,,,1960,1970,,,False,True,False,False,True,True,False,
8,What factor can aid me in grasping summer Arctic sea ice concentration?,siconca,,,,,,,mon,1850,1900,CMIP,historical,False,False,False,False,False,False,False,
9,Which parameter can help me interpret summer Arctic sea ice concentration?,siconca,,,,,,,,1960,1970,CMIP,,False,True,False,False,False,True,False,
10,What element can support my understanding of summer Arctic sea ice concentration?,siconca,,,,,,,mon,1850,1900,CMIP,historical,False,False,False,False,False,False,False,
6,What variable can help me understand summer Arctic sea ice concentration?,siconca,,,,,,,,1960,1970,,,False,True,False,False,True,True,False,
14,Can you list some datasets related to extreme weather?,"pr, ua, etc",,,,,,pr,,1960,1970,CMIP,,False,True,False,False,False,True,True,
11,Which aspect can guide me in understanding summer Arctic sea ice concentration?,siconca,,,,,,,mon,1850,1900,CMIP,historical,False,False,False,False,False,False,False,
13,Which datasets are pertinent to extreme weather?,"pr, ua, etc",,,,,,pr,,1960,1970,,,False,True,False,False,True,True,True,
15,What datasets are associated with extreme weather?,"pr, ua, etc",,,,,,pr,,1960,1970,,,False,True,False,False,True,True,True,
12,What are some datasets relevant to extreme weather?,"pr, ua, etc",,,,,,pr,,1960,1970,,,False,True,False,False,True,True,True,
20,"Graph the maximum daily rainfall for the 10, 20, 50, and 100-year return periods based on historical data.",pr,day,,,historical,,pr,day,7901,2014,CMIP,historical,True,True,False,False,False,False,True,
17,Can you provide examples of datasets concerning extreme weather?,"pr, ua, etc",,,,,,pr,,1960,1970,CMIP,,False,True,False,False,False,True,True,
16,Which datasets are relevant to extreme weather events?,"pr, ua, etc",,,,,,pr,,1960,1970,,,False,True,False,False,True,True,True,
19,"Create a plot for the 10, 20, 50, and 100-year return periods of maximum daily rainfall using historical simulations.",pr,day,,,historical,,pr,day,7901,2014,CMIP,historical,True,True,False,False,False,False,True,
18,"Plot the 10, 20, 50, and 100 yr return period for maximum daily rainfall based on historical simulations",pr,day,,,historical,,,day,1960,1970,CMIP,historical,False,True,False,False,False,False,False,
23,"Display the maximum daily rainfall for the 10, 20, 50, and 100-year return periods using historical simulation data.",pr,day,,,historical,,pr,day,7901,2014,CMIP,historical,True,True,False,False,False,False,True,
21,"Chart the return periods of 10, 20, 50, and 100 years for maximum daily rainfall using historical simulations.",pr,day,,,historical,,,day,1960,1970,CMIP,historical,False,True,False,False,False,False,False,
24,Show me all the times where Ames Iowa has more than 50 frost days from 1980-2014 under a historical simulation,tas,day,1980,2014,CMIP,historical,,day,1980,2014,CMIP,historical,False,True,True,True,True,True,False,
22,"Visualize the 10, 20, 50, and 100-year return periods for maximum daily rainfall from historical simulations.",pr,day,,,historical,,,day,1960,1970,CMIP,historical,False,True,False,False,False,False,False,
25,"Display all instances where Ames, Iowa experienced over 50 frost days from 1980 to 2014 in a historical simulation.",tas,day,1980,2014,CMIP,historical,,day,1980,2014,CMIP,historical,False,True,True,True,True,True,False,
26,"List all occurrences of Ames, Iowa having more than 50 frost days between 1980 and 2014 in a historical simulation.",tas,day,1980,2014,CMIP,historical,,day,1980,2014,CMIP,historical,False,True,True,True,True,True,False,
29,"Show all the years where Ames, Iowa experienced more than 50 frost days from 1980 to 2014 in a historical simulation.",tas,day,1980,2014,CMIP,historical,,day,1980,2014,CMIP,historical,False,True,True,True,True,True,False,
28,"Identify all periods where Ames, Iowa recorded more than 50 frost days from 1980 to 2014 in a historical simulation.",tas,day,1980,2014,CMIP,historical,,day,1980,2014,CMIP,historical,False,True,True,True,True,True,False,
30,give me variable for global warming,tas,,,,,,ta,,1960,1970,CMIP,historical,False,True,False,False,False,False,True,
27,"Provide all the times Ames, Iowa had over 50 frost days from 1980 to 2014 in a historical simulation.",tas,day,1980,2014,CMIP,historical,,day,1980,2014,CMIP,historical,False,True,True,True,True,True,False,
31,Provide me with variables related to global warming.,tas,,,,,,,,1960,1970,CMIP,1pctCO2,False,True,False,False,False,False,False,
33,List the variables that pertain to global warming.,tas,,,,,,,,1960,1970,,,False,True,False,False,True,True,False,
32,Give me factors associated with global warming.,tas,,,,,,,,1960,1970,,,False,True,False,False,True,True,False,
34,Identify the variables concerning global warming.,tas,,,,,,,,1960,1970,CMIP,,False,True,False,False,False,True,False,
36,Show me the average annual number of days per year that surface air temperature will exceed 98°F over a 10 year period in 2050-2070,tasmax,day,2050,2070,ScenarioMIP,,tas,day,2050,2070,ScenarioMIP,ssp585,False,True,True,True,True,False,True,
35,What are the variables involved in global warming?,tas,,,,,,,,1960,1970,,,False,True,False,False,True,True,False,
39,Show me the average annual count of days when surface air temperature surpasses 98°F over the 10-year period between 2050 and 2070.,tasmax,day,2050,2070,ScenarioMIP,,ta,mon,2050,2069,ScenarioMIP,ssp585,False,False,True,False,True,False,True,
37,Show me the average yearly number of days with surface air temperatures exceeding 98°F over a decade from 2050 to 2070.,tasmax,day,2050,2070,ScenarioMIP,,tas,mon,2050,2070,ScenarioMIP,ssp585,False,False,True,True,True,False,True,
40,Show me the average number of days each year that surface air temperature will be over 98°F during the 10-year period from 2050 to 2070.,tasmax,day,2050,2070,ScenarioMIP,,tas,day,2050,2070,ScenarioMIP,ssp585,False,True,True,True,True,False,True,
38,Show me the average number of days per year with surface air temperatures above 98°F over the 10-year span from 2050 to 2070.,tasmax,day,2050,2070,ScenarioMIP,,tas,day,2050,2070,ScenarioMIP,ssp585,False,True,True,True,True,False,True,
41,Show me the average yearly days with surface air temperatures over 98°F for the decade spanning 2050 to 2070.,tasmax,day,2050,2070,ScenarioMIP,,tas,mon,2050,2070,ScenarioMIP,ssp585,False,False,True,True,True,False,True,
