query_id,query,expected_scenario,expected_variable,expected_year_range,expected_file_path,predicted_scenario,predicted_variable,predicted_year_range,predicted_file_path,scenario_match,variable_match,year_range_match,file_path_match,success,error
1,I would like to see the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario for the period from January 2015 to December 2050.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
2,Please display the near-surface air temperature data for the ssp119 CO2 emissions scenario covering the timeframe 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
3,Could you provide me with the near-surface air temperature data linked to the ssp119 CO2 emissions scenario for the period spanning 201501 to 205012?,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
0,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 201501-205012,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
4,I am interested in examining the near-surface air temperature data associated with the ssp119 CO2 emissions scenario from January 2015 to December 2050.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
5,Show me the near-surface air temperature data relating to the ssp119 CO2 emissions scenario throughout the period 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
6,I'd like to view the near-surface air temperature data for the ssp119 CO2 emissions scenario concerning the time range 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
7,Kindly show me the near-surface air temperature data for the 201501-205012 period regarding the ssp119 CO2 emissions scenario.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
8,Share with me the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario for the timeframe 201501-205012.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
9,I'm seeking the near-surface air temperature data available for the ssp119 CO2 emissions scenario for the period starting from January 2015 to December 2050.,ssp119,tas,201501-205012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_201501-205012.nc,ssp119,tas,201501-205012,,True,True,True,False,True,
10,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 205101-210012,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
11,Display the near-surface air temperature data pertaining to the ssp119 CO2 emissions scenario for the period 205101-210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
13,Could you provide me with the near-surface air temperature data associated with the ssp119 CO2 emissions scenario from 205101 to 210012?,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
12,I need the near-surface air temperature data for the ssp119 CO2 emissions scenario between 205101 and 210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
14,Please show me the near-surface air temperature data for the period 205101-210012 under the ssp119 CO2 emissions scenario.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
15,I'm looking for the near-surface air temperature data corresponding to the ssp119 CO2 emissions scenario covering 205101-210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
17,Show me the near-surface air temperature data relevant to the ssp119 CO2 emissions scenario for the time frame 205101-210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
16,Could you present the near-surface air temperature data for the ssp119 CO2 emissions scenario during 205101-210012?,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
18,Please display the near-surface air temperature data for the ssp119 CO2 emissions scenario for the interval 205101 to 210012.,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
19,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 205101-210012,ssp119,tas,205101-210012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_205101-210012.nc,ssp119,tas,205101-210012,,True,True,True,False,True,
20,Show me near-surface air temperature data for a ssp119 CO2 emissions scenario for 210101-215012,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,tas,210101-215012,,True,True,True,False,True,
21,I would like to see the near-surface air temperature data for the ssp119 CO2 emissions scenario spanning from 210101 to 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,tas,210101-215012,,True,True,True,False,True,
23,I am interested in viewing the near-surface air temperature data associated with the ssp119 CO2 emissions scenario between 210101 and 215012.,ssp119,tas,210101-215012,/cmip6/CMIP6/ScenarioMIP/NASA-GISS/GISS-E2-1-G/ssp119/r3i1p1f2/Amon/tas/gn/v20200115/tas_Amon_GISS-E2-1-G_ssp119_r3i1p1f2_gn_210101-215012.nc,ssp119,tas,210101-215012,,True,True,True,False,True,
